,id,author_id,created_at,text,source,author.location,geo.country,geo.full_name,geo.geo.bbox
96191,1401162739100360709,1395344688815673344,2021-06-05T13:03:24.000Z,#weekend vibes with #hillwater https://t.co/9TbcicRhwJ,Twitter for Android,"Kampala, Uganda",Uganda,karon motel,"[32.572341, 0.291146, 32.572341, 0.291146]"
317488,1420669993704902658,1320648107030433792,2021-07-29T08:58:15.000Z,@IrweneyAmooti I blame her for killing my self esteem as a kid!😄,Twitter for iPhone,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
46285,1395375608746713088,18184674,2021-05-20T13:47:24.000Z,@mikemuhima How unfortunate Mike! Glad to have you back on the streets … #FreeMikeMuhima,Twitter for iPhone,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
639973,1450844920386830337,1362838404665380869,2021-10-20T15:22:39.000Z,@TheLoveDre @ChampionsLeague When Arsenal fans land on you https://t.co/HYm9mhUbX5,Twitter for Android,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
887285,1475044017234759683,1105239871,2021-12-26T10:01:13.000Z,@faithtrudy1 We should give you a discounted trip to Rwenzori from @africanbrownmat,Twitter for iPhone,Entebbe Uganda ,Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1050788,1490007670312640517,709328574,2022-02-05T17:01:26.000Z,Woow https://t.co/5FPZGec9ed,Twitter for Android,"Kampala, Uganda",Uganda,"Luwero, Uganda","[32.3148531, 0.5485104, 32.8028459, 1.1436775]"
258884,1415620227551875072,1118221346809339904,2021-07-15T10:32:17.000Z,"@GenSituka Sorry, u can love urself 😁",Twitter for iPhone,Your phone cant see this,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
370945,1425809321506525189,1411931436920229891,2021-08-12T13:20:07.000Z,@AherezaJanice @KeithLyon0 That's lyf,Twitter for Android,Uganda,Uganda,"Jinja, Uganda","[33.0453096, 0.3849308, 33.3798758, 0.7091918]"
110323,1402639090474962944,1171750287117340672,2021-06-09T14:49:53.000Z,USL TEAMS FINED. \nThe ‘Big 6’ have agreed to pay a combined fine of  £22m (About £3.5m each) to the Premier League in cash. And if they engage in future breakaway leagues again each will be fined £20M &amp; 30 points deductions.,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
380784,1426635049580048393,1308719438817046531,2021-08-14T20:01:16.000Z,@observerug I can only believe this if his government can produce  detailed reports about the death of Eria Katagaya and Noble Mayombo. The cancer they have is thinking that ugandans we easily forget as early as this.,Twitter for Android,Kampala,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
